context,sigma_ext,delta_theta,theta0,theta_left_target,theta_right_target,eps_left,eps_right,theta_left,theta_right,repeat,shared_noise,left_clipped,right_clipped,effective_delta,correct_right,response_key,choose_right,is_correct,trial_index,sigma_target,sigma_internal
redder,0.17284678222338876,-0.04,-0.7853981633974483,-0.7653981633974483,-0.8053981633974483,0.20452043546033966,-0.09662810579296748,-0.5608777279371087,-0.9020262691904157,3,False,False,False,-0.04,False,left,0,1,23,0.2,0.10061803951091684
redder,0.17284678222338876,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,0.24358950750652458,-0.08346522218041187,-0.5818086558909237,-0.8288633855778601,2,False,False,False,0.08,True,left,0,0,24,0.2,0.10061803951091684
redder,0.17284678222338876,0.04,-0.7853981633974483,-0.8053981633974483,-0.7653981633974483,0.12228153149043992,0.06976570346254568,-0.6831166319070083,-0.6956324599349026,3,False,False,False,0.04,True,right,1,1,25,0.2,0.10061803951091684
redder,0.17284678222338876,-0.14,-0.7853981633974483,-0.7153981633974482,-0.8553981633974483,0.23916694498837954,0.26834483776258117,-0.4762312184090687,-0.5870533256348671,0,False,False,False,-0.14,False,left,0,1,26,0.2,0.10061803951091684
redder,0.11124751738793805,-0.14,-0.7853981633974483,-0.7153981633974482,-0.8553981633974483,-0.08088487695248957,0.04373350652762426,-0.7962830403499378,-0.811664656869824,2,False,False,False,-0.14,False,left,0,1,27,0.15,0.10061803951091684
redder,0.11124751738793805,0.04,-0.7853981633974483,-0.8053981633974483,-0.7653981633974483,-0.09213352327430573,0.18469352585497448,-0.897531686671754,-0.5807046375424738,4,False,False,False,0.04,True,right,1,1,28,0.15,0.10061803951091684
redder,0.17284678222338876,-0.08,-0.7853981633974483,-0.7453981633974482,-0.8253981633974483,-0.09859893644109566,0.18409229660163728,-0.8439970998385439,-0.641305866795811,5,False,False,False,-0.08,False,right,1,0,29,0.2,0.10061803951091684
redder,0.11124751738793805,0.14,-0.7853981633974483,-0.8553981633974483,-0.7153981633974482,0.1343115294836714,0.1013679382073707,-0.7210866339137769,-0.6140302251900775,3,False,False,False,0.14,True,right,1,1,30,0.15,0.10061803951091684
redder,0.11124751738793805,-0.2,-0.7853981633974483,-0.6853981633974483,-0.8853981633974483,0.23190369173242967,0.06695228021852556,-0.45349447166501866,-0.8184458831789228,1,False,False,False,-0.2,False,left,0,1,31,0.15,0.10061803951091684
redder,0.17284678222338876,0.14,-0.7853981633974483,-0.8553981633974483,-0.7153981633974482,-0.08008379438623613,0.07809952875019696,-0.9354819577836845,-0.6372986346472512,2,False,False,False,0.14,True,right,1,1,32,0.2,0.10061803951091684
redder,0.17284678222338876,0.04,-0.7853981633974483,-0.8053981633974483,-0.7653981633974483,0.21210809026216113,-0.1990702360061702,-0.5932900731352871,-0.9644683994036185,1,False,False,False,0.04,True,left,0,0,33,0.2,0.10061803951091684
redder,0.11124751738793805,-0.14,-0.7853981633974483,-0.7153981633974482,-0.8553981633974483,0.10072853022635207,0.10098254219063939,-0.6146696331710961,-0.7544156212068089,5,False,False,False,-0.14,False,left,0,1,34,0.15,0.10061803951091684
redder,0.11124751738793805,0.04,-0.7853981633974483,-0.8053981633974483,-0.7653981633974483,0.07916352615681939,-0.13004094274159395,-0.7262346372406289,-0.8954391061390422,0,False,False,False,0.04,True,left,0,0,35,0.15,0.10061803951091684
redder,0.17284678222338876,-0.14,-0.7853981633974483,-0.7153981633974482,-0.8553981633974483,0.19153933642387563,0.08012841410683731,-0.5238588269735726,-0.775269749290611,5,False,False,False,-0.14,False,right,1,0,36,0.2,0.10061803951091684
redder,0.11124751738793805,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,0.14066661065395966,0.10038449907257456,-0.6847315527434886,-0.6450136643248737,4,False,False,False,0.08,True,right,1,1,37,0.15,0.10061803951091684
